x,y,Thermal Conductivity,Lattice Parameter(WPF),delta_d(SPF-WPF),d-spacing(WPF),Fluorite Size Disorder,Entropy,strain(LMFIT-dspacing),a111(LMFIT),a200(LMFIT),mismatch(LMFIT-lattice parameter),d111(LMFIT),d200(LMFIT),corr_length,fwhm111(LMFIT),delta_d/d
-2.4,2.1,0.898238427,5.234575,0.0186563669630044,2.6172875,0.0984718717678471,4.133700981399764,0.127534,5.233485,5.272404,-0.007437,3.021554,2.636202,2.948660272867483,0.099621,0.007128130540876536
-2.4,2.2,0.902353326,5.233395,0.0179533834719345,2.6166975,0.0983341400044343,4.131216027298257,0.127526,5.231882,5.270839,-0.007446,3.020628,2.635419,2.948660272867483,0.099568,0.006861084810886432
-2.4,2.3,0.96806988,5.233395,0.0179533834719345,2.6166975,0.098295029293303,4.134534229853947,0.127526,5.231882,5.270839,-0.007446,3.020628,2.635419,2.948660272867483,0.099568,0.006861084810886432
-2.4,2.4,1.042385388,5.231875,0.0190508774283588,2.6159375,0.0981608383871048,4.131760714678421,0.127349,5.230126,5.270139,-0.007651,3.019614,2.635069,2.948660272867483,0.099956,0.0072826194923842034
-2.4,2.5,1.116638914,5.231875,0.0190508774283588,2.6159375,0.0980270492291285,4.128919413101107,0.127349,5.230126,5.270139,-0.007651,3.019614,2.635069,2.948660272867483,0.099956,0.0072826194923842034
-2.3,-2.5,0.587737617,5.246627,0.020248059993821,2.6233135,0.1039916758372289,3.925730708343736,0.127293,5.247255,5.287737,-0.007715,3.029504,2.643869,2.948660272867483,0.096682,0.0077185056203999255
-2.3,-2.4,0.543041371,5.246627,0.020248059993821,2.6233135,0.1038479380410949,3.938468100885391,0.127293,5.247255,5.287737,-0.007715,3.029504,2.643869,2.948660272867483,0.096682,0.0077185056203999255
-2.3,-2.3,0.66963351,5.24655,0.0193057834011045,2.623275,0.103751106555294,3.941921219971735,0.127311,5.247229,5.287606,-0.007695,3.029489,2.643803,2.948660272867483,0.096508,0.0073594203433130344
-2.3,-2.2,0.751914684,5.24655,0.0193057834011045,2.623275,0.1036073226516429,3.95429589451679,0.127311,5.247229,5.287606,-0.007695,3.029489,2.643803,2.948660272867483,0.096508,0.0073594203433130344
-2.3,-2.1,0.709831767,5.246382,0.0196656446925849,2.623191,0.1034693474914416,3.966314485809446,0.127384,5.247219,5.28715,-0.00761,3.029483,2.643575,2.948660272867483,0.096103,0.007496840562728715
-2.3,-2.0,0.622805224,5.246382,0.0196656446925849,2.623191,0.1033300239212834,3.978225516895293,0.127384,5.247219,5.28715,-0.00761,3.029483,2.643575,2.948660272867483,0.096103,0.007496840562728715
-2.3,-1.9,0.750770749,5.246382,0.0196656446925849,2.623191,0.1032256387156353,3.981373439926494,0.127384,5.247219,5.28715,-0.00761,3.029483,2.643575,2.948660272867483,0.096103,0.007496840562728715
-2.3,-1.8,0.69511846,5.246209,0.0190066468836942,2.6231045,0.1030817797284574,3.993180731438771,0.127404,5.247117,5.286928,-0.007587,3.029425,2.643464,2.948660272867483,0.095452,0.0072458595849666674
-2.3,-1.7,0.643803754,5.246209,0.0190066468836942,2.6231045,0.1029730280251687,3.99621928911035,0.127404,5.247117,5.286928,-0.007587,3.029425,2.643464,2.948660272867483,0.095452,0.0072458595849666674
